API Code,Time of Call,Date,Count,,,
A1,03-02-2025 9.24,03-02-2025,,,Jul,96
A1,03-02-2025 10.53,03-02-2025,,,A2,2438
A1,03-02-2025 12.45,03-02-2025,,,Feb,420
A1,03-02-2025 13.33,03-02-2025,,,01-Feb,16
A1,03-02-2025 13.52,03-02-2025,,,02-Feb,8
A1,03-02-2025 15.01,03-02-2025,,,03-Feb,17
A1,03-02-2025 15.09,03-02-2025,,,04-Feb,19
A1,03-02-2025 17.42,03-02-2025,,,05-Feb,20
A1,03-02-2025 20.10,03-02-2025,,,06-Feb,10
A1,03-02-2025 21.21,03-02-2025,,,07-Feb,13
A1,03-02-2025 23.26,03-02-2025,,,08-Feb,16
A1,04-02-2025 1.12,04-02-2025,,,09-Feb,19
A1,04-02-2025 9.50,04-02-2025,,,10-Feb,15
A1,04-02-2025 14.19,04-02-2025,,,11-Feb,12
A1,04-02-2025 15.38,04-02-2025,,,12-Feb,15
A1,04-02-2025 18.16,04-02-2025,,,13-Feb,28
A1,04-02-2025 19.43,04-02-2025,,,14-Feb,11
A1,04-02-2025 20.00,04-02-2025,,,15-Feb,18
A1,04-02-2025 22.44,04-02-2025,,,16-Feb,14
A1,04-02-2025 23.27,04-02-2025,,,17-Feb,12
A1,05-02-2025 1.18,05-02-2025,,,18-Feb,17
A1,05-02-2025 2.57,05-02-2025,,,19-Feb,11
A1,05-02-2025 3.05,05-02-2025,,,20-Feb,17
A1,05-02-2025 5.30,05-02-2025,,,21-Feb,13
A1,05-02-2025 6.17,05-02-2025,,,22-Feb,6
A1,05-02-2025 6.57,05-02-2025,,,23-Feb,21
A1,05-02-2025 10.55,05-02-2025,,,24-Feb,22
A1,05-02-2025 12.10,05-02-2025,,,25-Feb,12
A1,05-02-2025 12.44,05-02-2025,,,26-Feb,14
A1,05-02-2025 12.58,05-02-2025,,,27-Feb,10
A1,05-02-2025 13.40,05-02-2025,,,28-Feb,14
A1,05-02-2025 14.17,05-02-2025,,,Mar,499
A1,05-02-2025 15.51,05-02-2025,,,Apr,486
A1,05-02-2025 17.07,05-02-2025,,,May,492
A1,05-02-2025 20.58,05-02-2025,,,Jun,478
A1,05-02-2025 21.26,05-02-2025,,,Jul,63
A1,05-02-2025 21.30,05-02-2025,,,A3,2359
A1,06-02-2025 2.53,06-02-2025,,,Feb,407
A1,06-02-2025 6.48,06-02-2025,,,01-Feb,15
A1,06-02-2025 7.06,06-02-2025,,,02-Feb,12
A1,06-02-2025 8.37,06-02-2025,,,03-Feb,20
A1,06-02-2025 10.02,06-02-2025,,,04-Feb,15
A1,06-02-2025 10.19,06-02-2025,,,05-Feb,13
A1,06-02-2025 10.49,06-02-2025,,,06-Feb,9
A1,06-02-2025 11.26,06-02-2025,,,07-Feb,21
A1,06-02-2025 11.46,06-02-2025,,,08-Feb,14
A1,06-02-2025 12.23,06-02-2025,,,09-Feb,12
A1,06-02-2025 13.57,06-02-2025,,,10-Feb,10
A1,06-02-2025 16.00,06-02-2025,,,11-Feb,15
A1,06-02-2025 17.04,06-02-2025,,,12-Feb,15
A1,06-02-2025 18.22,06-02-2025,,,13-Feb,13
A1,06-02-2025 20.51,06-02-2025,,,14-Feb,20
A1,07-02-2025 0.32,07-02-2025,,,15-Feb,12
A1,07-02-2025 0.50,07-02-2025,,,16-Feb,15
A1,07-02-2025 1.51,07-02-2025,,,17-Feb,17
A1,07-02-2025 3.57,07-02-2025,,,18-Feb,10
A1,07-02-2025 4.09,07-02-2025,,,19-Feb,13
A1,07-02-2025 5.08,07-02-2025,,,20-Feb,17
A1,07-02-2025 8.43,07-02-2025,,,21-Feb,18
A1,07-02-2025 10.04,07-02-2025,,,22-Feb,19
A1,07-02-2025 14.13,07-02-2025,,,23-Feb,7
A1,07-02-2025 17.03,07-02-2025,,,24-Feb,16
A1,07-02-2025 17.27,07-02-2025,,,25-Feb,19
A1,07-02-2025 21.39,07-02-2025,,,26-Feb,14
A1,07-02-2025 21.52,07-02-2025,,,27-Feb,11
A1,07-02-2025 22.52,07-02-2025,,,28-Feb,15
A1,08-02-2025 1.51,08-02-2025,,,Mar,466
A1,08-02-2025 2.45,08-02-2025,,,Apr,464
A1,08-02-2025 3.32,08-02-2025,,,May,454
A1,08-02-2025 4.31,08-02-2025,,,Jun,480
A1,08-02-2025 5.37,08-02-2025,,,Jul,88
A1,08-02-2025 6.35,08-02-2025,,,A4,2402
A1,08-02-2025 8.14,08-02-2025,,,Feb,428
A1,08-02-2025 8.44,08-02-2025,,,01-Feb,9
A1,08-02-2025 12.19,08-02-2025,,,02-Feb,18
A1,08-02-2025 14.15,08-02-2025,,,03-Feb,16
A1,08-02-2025 15.18,08-02-2025,,,04-Feb,9
A1,08-02-2025 16.53,08-02-2025,,,05-Feb,16
A1,08-02-2025 22.55,08-02-2025,,,06-Feb,10
A1,09-02-2025 2.19,09-02-2025,,,07-Feb,13
A1,09-02-2025 3.05,09-02-2025,,,08-Feb,18
A1,09-02-2025 6.46,09-02-2025,,,09-Feb,18
A1,09-02-2025 8.33,09-02-2025,,,10-Feb,14
A1,09-02-2025 9.25,09-02-2025,,,11-Feb,16
A1,09-02-2025 9.45,09-02-2025,,,12-Feb,14
A1,09-02-2025 19.04,09-02-2025,,,13-Feb,5
A1,09-02-2025 20.06,09-02-2025,,,14-Feb,17
A1,09-02-2025 20.29,09-02-2025,,,15-Feb,13
A1,09-02-2025 23.11,09-02-2025,,,16-Feb,14
A1,10-02-2025 0.07,10-02-2025,,,17-Feb,19
A1,10-02-2025 0.56,10-02-2025,,,18-Feb,19
A1,10-02-2025 1.40,10-02-2025,,,19-Feb,15
A1,10-02-2025 2.01,10-02-2025,,,20-Feb,17
A1,10-02-2025 3.30,10-02-2025,,,21-Feb,24
A1,10-02-2025 4.13,10-02-2025,,,22-Feb,19
A1,10-02-2025 8.32,10-02-2025,,,23-Feb,15
A1,10-02-2025 11.21,10-02-2025,,,24-Feb,13
A1,10-02-2025 12.48,10-02-2025,,,25-Feb,18
A1,10-02-2025 13.33,10-02-2025,,,26-Feb,19
A1,10-02-2025 14.44,10-02-2025,,,27-Feb,16
A1,10-02-2025 15.47,10-02-2025,,,28-Feb,14
A1,10-02-2025 18.58,10-02-2025,,,Mar,493
A1,10-02-2025 19.31,10-02-2025,,,Apr,483
A1,10-02-2025 21.57,10-02-2025,,,May,445
A1,11-02-2025 0.36,11-02-2025,,,Jun,466
A1,11-02-2025 1.48,11-02-2025,,,Jul,87
A1,11-02-2025 5.29,11-02-2025,,,A5,2323
A1,11-02-2025 6.22,11-02-2025,,,Feb,444
A1,11-02-2025 7.29,11-02-2025,,,01-Feb,12
A1,11-02-2025 8.02,11-02-2025,,,02-Feb,17
A1,11-02-2025 10.29,11-02-2025,,,03-Feb,15
A1,11-02-2025 18.45,11-02-2025,,,04-Feb,17
A1,11-02-2025 19.30,11-02-2025,,,05-Feb,14
A1,11-02-2025 20.05,11-02-2025,,,06-Feb,18
A1,11-02-2025 21.33,11-02-2025,,,07-Feb,19
A1,11-02-2025 23.38,11-02-2025,,,08-Feb,21
A1,12-02-2025 2.29,12-02-2025,,,09-Feb,14
A1,12-02-2025 2.59,12-02-2025,,,10-Feb,14
A1,12-02-2025 3.45,12-02-2025,,,11-Feb,18
A1,12-02-2025 5.18,12-02-2025,,,12-Feb,26
A1,12-02-2025 7.17,12-02-2025,,,13-Feb,14
A1,12-02-2025 7.42,12-02-2025,,,14-Feb,19
A1,12-02-2025 8.24,12-02-2025,,,15-Feb,14
A1,12-02-2025 12.36,12-02-2025,,,16-Feb,14
A1,12-02-2025 12.53,12-02-2025,,,17-Feb,20
A1,12-02-2025 14.49,12-02-2025,,,18-Feb,20
A1,12-02-2025 16.27,12-02-2025,,,19-Feb,16
A1,12-02-2025 17.01,12-02-2025,,,20-Feb,15
A1,12-02-2025 18.52,12-02-2025,,,21-Feb,9
A1,13-02-2025 0.23,13-02-2025,,,22-Feb,15
A1,13-02-2025 1.53,13-02-2025,,,23-Feb,13
A1,13-02-2025 1.56,13-02-2025,,,24-Feb,10
A1,13-02-2025 2.44,13-02-2025,,,25-Feb,17
A1,13-02-2025 2.50,13-02-2025,,,26-Feb,12
A1,13-02-2025 3.19,13-02-2025,,,27-Feb,19
A1,13-02-2025 10.17,13-02-2025,,,28-Feb,12
A1,13-02-2025 11.57,13-02-2025,,,Mar,448
A1,13-02-2025 14.06,13-02-2025,,,Apr,441
A1,13-02-2025 14.18,13-02-2025,,,May,478
A1,13-02-2025 15.00,13-02-2025,,,Jun,445
A1,13-02-2025 15.54,13-02-2025,,,Jul,67
A1,13-02-2025 16.35,13-02-2025,,,A6,2348
A1,13-02-2025 17.22,13-02-2025,,,Feb,416
A1,13-02-2025 18.30,13-02-2025,,,01-Feb,20
A1,13-02-2025 20.04,13-02-2025,,,02-Feb,20
A1,13-02-2025 21.11,13-02-2025,,,03-Feb,18
A1,13-02-2025 21.41,13-02-2025,,,04-Feb,17
A1,13-02-2025 22.03,13-02-2025,,,05-Feb,18
A1,13-02-2025 22.38,13-02-2025,,,06-Feb,17
A1,13-02-2025 23.57,13-02-2025,,,07-Feb,14
A1,14-02-2025 0.52,14-02-2025,,,08-Feb,13
A1,14-02-2025 1.21,14-02-2025,,,09-Feb,14
A1,14-02-2025 3.58,14-02-2025,,,10-Feb,13
A1,14-02-2025 6.20,14-02-2025,,,11-Feb,11
A1,14-02-2025 6.33,14-02-2025,,,12-Feb,12
A1,14-02-2025 7.14,14-02-2025,,,13-Feb,9
A1,14-02-2025 8.04,14-02-2025,,,14-Feb,13
A1,14-02-2025 11.48,14-02-2025,,,15-Feb,18
A1,14-02-2025 13.58,14-02-2025,,,16-Feb,14
A1,14-02-2025 16.37,14-02-2025,,,17-Feb,10
A1,14-02-2025 18.55,14-02-2025,,,18-Feb,11
A1,14-02-2025 21.37,14-02-2025,,,19-Feb,14
A1,14-02-2025 22.43,14-02-2025,,,20-Feb,10
A1,15-02-2025 3.47,15-02-2025,,,21-Feb,12
A1,15-02-2025 6.49,15-02-2025,,,22-Feb,20
A1,15-02-2025 9.31,15-02-2025,,,23-Feb,17
A1,15-02-2025 11.00,15-02-2025,,,24-Feb,17
A1,15-02-2025 15.47,15-02-2025,,,25-Feb,13
A1,15-02-2025 16.14,15-02-2025,,,26-Feb,15
A1,15-02-2025 17.12,15-02-2025,,,27-Feb,17
A1,15-02-2025 21.10,15-02-2025,,,28-Feb,19
A1,15-02-2025 22.19,15-02-2025,,,Mar,464
A1,16-02-2025 2.11,16-02-2025,,,Apr,455
A1,16-02-2025 2.52,16-02-2025,,,May,480
A1,16-02-2025 3.25,16-02-2025,,,Jun,448
A1,16-02-2025 5.18,16-02-2025,,,Jul,85
A1,16-02-2025 6.25,16-02-2025,,,A7,2410
A1,16-02-2025 6.32,16-02-2025,,,Feb,462
A1,16-02-2025 8.11,16-02-2025,,,01-Feb,21
A1,16-02-2025 9.38,16-02-2025,,,02-Feb,13
A1,16-02-2025 11.13,16-02-2025,,,03-Feb,13
A1,16-02-2025 11.25,16-02-2025,,,04-Feb,16
A1,16-02-2025 11.50,16-02-2025,,,05-Feb,18
A1,16-02-2025 14.24,16-02-2025,,,06-Feb,21
A1,16-02-2025 15.19,16-02-2025,,,07-Feb,23
A1,16-02-2025 17.40,16-02-2025,,,08-Feb,16
A1,16-02-2025 19.35,16-02-2025,,,09-Feb,15
A1,16-02-2025 23.05,16-02-2025,,,10-Feb,16
A1,17-02-2025 0.09,17-02-2025,,,11-Feb,11
A1,17-02-2025 5.17,17-02-2025,,,12-Feb,19
A1,17-02-2025 6.12,17-02-2025,,,13-Feb,21
A1,17-02-2025 7.39,17-02-2025,,,14-Feb,15
A1,17-02-2025 11.03,17-02-2025,,,15-Feb,16
A1,17-02-2025 12.58,17-02-2025,,,16-Feb,16
A1,17-02-2025 14.02,17-02-2025,,,17-Feb,16
A1,17-02-2025 14.19,17-02-2025,,,18-Feb,18
A1,17-02-2025 14.26,17-02-2025,,,19-Feb,15
A1,17-02-2025 14.40,17-02-2025,,,20-Feb,12
A1,17-02-2025 15.32,17-02-2025,,,21-Feb,21
A1,17-02-2025 16.19,17-02-2025,,,22-Feb,14
A1,17-02-2025 18.04,17-02-2025,,,23-Feb,14
A1,17-02-2025 20.00,17-02-2025,,,24-Feb,8
A1,17-02-2025 21.15,17-02-2025,,,25-Feb,17
A1,17-02-2025 21.36,17-02-2025,,,26-Feb,18
A1,17-02-2025 23.37,17-02-2025,,,27-Feb,17
A1,17-02-2025 23.43,17-02-2025,,,28-Feb,22
A1,18-02-2025 2.29,18-02-2025,,,Mar,466
A1,18-02-2025 5.46,18-02-2025,,,Apr,490
A1,18-02-2025 5.53,18-02-2025,,,May,440
A1,18-02-2025 7.14,18-02-2025,,,Jun,448
A1,18-02-2025 7.45,18-02-2025,,,Jul,104
A1,18-02-2025 10.06,18-02-2025,,,A8,2277
A1,18-02-2025 10.12,18-02-2025,,,Feb,424
A1,18-02-2025 11.19,18-02-2025,,,01-Feb,12
A1,18-02-2025 12.09,18-02-2025,,,02-Feb,13
A1,18-02-2025 14.07,18-02-2025,,,03-Feb,14
A1,18-02-2025 15.12,18-02-2025,,,04-Feb,17
A1,18-02-2025 16.53,18-02-2025,,,05-Feb,19
A1,18-02-2025 18.08,18-02-2025,,,06-Feb,22
A1,18-02-2025 18.30,18-02-2025,,,07-Feb,11
A1,18-02-2025 22.00,18-02-2025,,,08-Feb,10
A1,18-02-2025 22.30,18-02-2025,,,09-Feb,10
A1,18-02-2025 22.42,18-02-2025,,,10-Feb,17
A1,18-02-2025 22.46,18-02-2025,,,11-Feb,19
A1,18-02-2025 23.27,18-02-2025,,,12-Feb,13
A1,19-02-2025 2.11,19-02-2025,,,13-Feb,9
A1,19-02-2025 4.19,19-02-2025,,,14-Feb,18
A1,19-02-2025 4.39,19-02-2025,,,15-Feb,21
A1,19-02-2025 5.52,19-02-2025,,,16-Feb,18
A1,19-02-2025 9.05,19-02-2025,,,17-Feb,11
A1,19-02-2025 11.32,19-02-2025,,,18-Feb,14
A1,19-02-2025 11.54,19-02-2025,,,19-Feb,22
A1,19-02-2025 14.59,19-02-2025,,,20-Feb,13
A1,19-02-2025 16.06,19-02-2025,,,21-Feb,14
A1,19-02-2025 18.09,19-02-2025,,,22-Feb,16
A1,19-02-2025 21.06,19-02-2025,,,23-Feb,13
A1,19-02-2025 22.10,19-02-2025,,,24-Feb,8
A1,19-02-2025 23.43,19-02-2025,,,25-Feb,14
A1,20-02-2025 0.32,20-02-2025,,,26-Feb,16
A1,20-02-2025 1.07,20-02-2025,,,27-Feb,20
A1,20-02-2025 1.26,20-02-2025,,,28-Feb,20
A1,20-02-2025 2.26,20-02-2025,,,Mar,458
A1,20-02-2025 2.56,20-02-2025,,,Apr,406
A1,20-02-2025 3.00,20-02-2025,,,May,487
A1,20-02-2025 3.28,20-02-2025,,,Jun,430
A1,20-02-2025 5.25,20-02-2025,,,Jul,72
A1,20-02-2025 8.24,20-02-2025,,,A9,2451
A1,20-02-2025 9.09,20-02-2025,,,Feb,406
A1,20-02-2025 11.19,20-02-2025,,,01-Feb,12
A1,20-02-2025 11.30,20-02-2025,,,02-Feb,16
A1,20-02-2025 11.46,20-02-2025,,,03-Feb,10
A1,20-02-2025 12.05,20-02-2025,,,04-Feb,15
A1,20-02-2025 12.57,20-02-2025,,,05-Feb,8
A1,20-02-2025 15.30,20-02-2025,,,06-Feb,13
A1,20-02-2025 15.42,20-02-2025,,,07-Feb,9
A1,20-02-2025 15.45,20-02-2025,,,08-Feb,21
A1,20-02-2025 17.01,20-02-2025,,,09-Feb,19
A1,20-02-2025 18.15,20-02-2025,,,10-Feb,22
A1,20-02-2025 18.33,20-02-2025,,,11-Feb,20
A1,20-02-2025 19.42,20-02-2025,,,12-Feb,17
A1,20-02-2025 19.48,20-02-2025,,,13-Feb,19
A1,20-02-2025 20.08,20-02-2025,,,14-Feb,16
A1,20-02-2025 20.19,20-02-2025,,,15-Feb,14
A1,20-02-2025 20.58,20-02-2025,,,16-Feb,12
A1,20-02-2025 21.12,20-02-2025,,,17-Feb,12
A1,20-02-2025 23.48,20-02-2025,,,18-Feb,10
A1,21-02-2025 4.14,21-02-2025,,,19-Feb,17
A1,21-02-2025 6.47,21-02-2025,,,20-Feb,12
A1,21-02-2025 6.55,21-02-2025,,,21-Feb,16
A1,21-02-2025 7.45,21-02-2025,,,22-Feb,17
A1,21-02-2025 8.19,21-02-2025,,,23-Feb,13
A1,21-02-2025 9.01,21-02-2025,,,24-Feb,17
A1,21-02-2025 9.53,21-02-2025,,,25-Feb,13
A1,21-02-2025 15.51,21-02-2025,,,26-Feb,12
A1,21-02-2025 17.11,21-02-2025,,,27-Feb,15
A1,21-02-2025 19.26,21-02-2025,,,28-Feb,9
A1,21-02-2025 19.59,21-02-2025,,,Mar,514
A1,21-02-2025 21.45,21-02-2025,,,Apr,465
A1,21-02-2025 22.51,21-02-2025,,,May,495
A1,22-02-2025 3.34,22-02-2025,,,Jun,481
A1,22-02-2025 4.20,22-02-2025,,,Jul,90
A1,22-02-2025 5.37,22-02-2025,,,Grand Total,21371
A1,22-02-2025 5.53,22-02-2025,,,,
A1,22-02-2025 6.02,22-02-2025,,,,
A1,22-02-2025 7.35,22-02-2025,,,,
A1,22-02-2025 10.05,22-02-2025,,,,
A1,22-02-2025 11.19,22-02-2025,,,,
A1,22-02-2025 11.31,22-02-2025,,,,
A1,22-02-2025 12.21,22-02-2025,,,,
A1,22-02-2025 12.51,22-02-2025,,,,
A1,22-02-2025 14.18,22-02-2025,,,,
A1,22-02-2025 19.08,22-02-2025,,,,
A1,22-02-2025 20.33,22-02-2025,,,,
A1,22-02-2025 22.41,22-02-2025,,,,
A1,22-02-2025 23.56,22-02-2025,,,,
A1,23-02-2025 1.16,23-02-2025,,,,
A1,23-02-2025 1.54,23-02-2025,,,,
A1,23-02-2025 2.13,23-02-2025,,,,
A1,23-02-2025 2.54,23-02-2025,,,,
A1,23-02-2025 3.34,23-02-2025,,,,
A1,23-02-2025 4.14,23-02-2025,,,,
A1,23-02-2025 4.31,23-02-2025,,,,
A1,23-02-2025 6.39,23-02-2025,,,,
A1,23-02-2025 9.24,23-02-2025,,,,
A1,23-02-2025 9.33,23-02-2025,,,,
A1,23-02-2025 9.53,23-02-2025,,,,
A1,23-02-2025 10.35,23-02-2025,,,,
A1,23-02-2025 12.57,23-02-2025,,,,
A1,23-02-2025 14.18,23-02-2025,,,,
A1,23-02-2025 15.08,23-02-2025,,,,
A1,23-02-2025 15.12,23-02-2025,,,,
A1,23-02-2025 16.10,23-02-2025,,,,
A1,23-02-2025 19.46,23-02-2025,,,,
A1,23-02-2025 20.17,23-02-2025,,,,
A1,23-02-2025 20.42,23-02-2025,,,,
A1,23-02-2025 23.30,23-02-2025,,,,
A1,23-02-2025 23.52,23-02-2025,,,,
A1,24-02-2025 3.03,24-02-2025,,,,
A1,24-02-2025 5.56,24-02-2025,,,,
A1,24-02-2025 6.27,24-02-2025,,,,
A1,24-02-2025 6.55,24-02-2025,,,,
A1,24-02-2025 7.13,24-02-2025,,,,
A1,24-02-2025 7.34,24-02-2025,,,,
A1,24-02-2025 8.19,24-02-2025,,,,
A1,24-02-2025 12.19,24-02-2025,,,,
A1,24-02-2025 15.45,24-02-2025,,,,
A1,24-02-2025 16.21,24-02-2025,,,,
A1,24-02-2025 17.00,24-02-2025,,,,
A1,24-02-2025 23.40,24-02-2025,,,,
A1,25-02-2025 0.47,25-02-2025,,,,
A1,25-02-2025 3.04,25-02-2025,,,,
A1,25-02-2025 3.26,25-02-2025,,,,
A1,25-02-2025 3.33,25-02-2025,,,,
A1,25-02-2025 3.52,25-02-2025,,,,
A1,25-02-2025 5.23,25-02-2025,,,,
A1,25-02-2025 11.01,25-02-2025,,,,
A1,25-02-2025 11.19,25-02-2025,,,,
A1,25-02-2025 11.27,25-02-2025,,,,
A1,25-02-2025 12.39,25-02-2025,,,,
A1,25-02-2025 13.09,25-02-2025,,,,
A1,25-02-2025 14.05,25-02-2025,,,,
A1,25-02-2025 16.39,25-02-2025,,,,
A1,25-02-2025 17.13,25-02-2025,,,,
A1,25-02-2025 17.51,25-02-2025,,,,
A1,25-02-2025 19.05,25-02-2025,,,,
A1,25-02-2025 22.00,25-02-2025,,,,
A1,25-02-2025 23.48,25-02-2025,,,,
A1,26-02-2025 1.04,26-02-2025,,,,
A1,26-02-2025 2.06,26-02-2025,,,,
A1,26-02-2025 2.54,26-02-2025,,,,
A1,26-02-2025 4.00,26-02-2025,,,,
A1,26-02-2025 5.02,26-02-2025,,,,
A1,26-02-2025 6.28,26-02-2025,,,,
A1,26-02-2025 8.24,26-02-2025,,,,
A1,26-02-2025 9.08,26-02-2025,,,,
A1,26-02-2025 9.36,26-02-2025,,,,
A1,26-02-2025 15.11,26-02-2025,,,,
A1,26-02-2025 18.23,26-02-2025,,,,
A1,26-02-2025 18.38,26-02-2025,,,,
A1,26-02-2025 19.46,26-02-2025,,,,
A1,26-02-2025 20.34,26-02-2025,,,,
A1,26-02-2025 21.28,26-02-2025,,,,
A1,27-02-2025 2.26,27-02-2025,,,,
A1,27-02-2025 2.53,27-02-2025,,,,
A1,27-02-2025 3.54,27-02-2025,,,,
A1,27-02-2025 4.00,27-02-2025,,,,
A1,27-02-2025 8.10,27-02-2025,,,,
A1,27-02-2025 9.20,27-02-2025,,,,
A1,27-02-2025 10.06,27-02-2025,,,,
A1,27-02-2025 12.50,27-02-2025,,,,
A1,27-02-2025 14.01,27-02-2025,,,,
A1,27-02-2025 17.43,27-02-2025,,,,
A1,27-02-2025 20.40,27-02-2025,,,,
A1,27-02-2025 20.53,27-02-2025,,,,
A1,27-02-2025 21.09,27-02-2025,,,,
A1,27-02-2025 22.14,27-02-2025,,,,
A1,28-02-2025 1.16,28-02-2025,,,,
A1,28-02-2025 2.34,28-02-2025,,,,
A1,28-02-2025 3.10,28-02-2025,,,,
A1,28-02-2025 4.14,28-02-2025,,,,
A1,28-02-2025 6.38,28-02-2025,,,,
A1,28-02-2025 6.49,28-02-2025,,,,
A1,28-02-2025 8.20,28-02-2025,,,,
A1,28-02-2025 10.09,28-02-2025,,,,
A1,28-02-2025 13.07,28-02-2025,,,,
A1,28-02-2025 14.17,28-02-2025,,,,
A1,28-02-2025 16.24,28-02-2025,,,,
A1,28-02-2025 16.58,28-02-2025,,,,
A1,28-02-2025 18.51,28-02-2025,,,,
A1,28-02-2025 20.46,28-02-2025,,,,
A1,28-02-2025 21.32,28-02-2025,,,,
A1,28-02-2025 22.12,28-02-2025,,,,
A1,28-02-2025 22.52,28-02-2025,,,,
A1,01-03-2025 0.45,01-03-2025,,,,
A1,01-03-2025 3.24,01-03-2025,,,,
A1,01-03-2025 3.57,01-03-2025,,,,
A1,01-03-2025 4.31,01-03-2025,,,,
A1,01-03-2025 4.59,01-03-2025,,,,
A1,01-03-2025 5.18,01-03-2025,,,,
A1,01-03-2025 6.16,01-03-2025,,,,
A1,01-03-2025 9.45,01-03-2025,,,,
A1,01-03-2025 11.14,01-03-2025,,,,
A1,01-03-2025 13.52,01-03-2025,,,,
A1,01-03-2025 16.27,01-03-2025,,,,
A1,02-03-2025 1.50,02-03-2025,,,,
A1,02-03-2025 4.52,02-03-2025,,,,
A1,02-03-2025 8.47,02-03-2025,,,,
A1,02-03-2025 10.09,02-03-2025,,,,
A1,02-03-2025 10.25,02-03-2025,,,,
A1,02-03-2025 13.25,02-03-2025,,,,
A1,02-03-2025 13.40,02-03-2025,,,,
A1,02-03-2025 16.11,02-03-2025,,,,
A1,02-03-2025 16.26,02-03-2025,,,,
A1,02-03-2025 21.49,02-03-2025,,,,
A1,02-03-2025 22.09,02-03-2025,,,,
A1,03-03-2025 5.01,03-03-2025,,,,
A1,03-03-2025 5.19,03-03-2025,,,,
A1,03-03-2025 8.58,03-03-2025,,,,
A1,03-03-2025 10.25,03-03-2025,,,,
A1,03-03-2025 12.56,03-03-2025,,,,
A1,03-03-2025 15.08,03-03-2025,,,,
A1,03-03-2025 16.20,03-03-2025,,,,
A1,03-03-2025 17.22,03-03-2025,,,,
A1,03-03-2025 19.17,03-03-2025,,,,
A1,03-03-2025 22.44,03-03-2025,,,,
A1,04-03-2025 1.17,04-03-2025,,,,
A1,04-03-2025 1.37,04-03-2025,,,,
A1,04-03-2025 2.31,04-03-2025,,,,
A1,04-03-2025 4.20,04-03-2025,,,,
A1,04-03-2025 11.01,04-03-2025,,,,
A1,04-03-2025 11.36,04-03-2025,,,,
A1,04-03-2025 12.27,04-03-2025,,,,
A1,04-03-2025 15.07,04-03-2025,,,,
A1,04-03-2025 17.20,04-03-2025,,,,
A1,04-03-2025 18.38,04-03-2025,,,,
A1,04-03-2025 19.40,04-03-2025,,,,
A1,04-03-2025 20.48,04-03-2025,,,,
A1,04-03-2025 21.09,04-03-2025,,,,
A1,04-03-2025 22.18,04-03-2025,,,,
A1,05-03-2025 0.54,05-03-2025,,,,
A1,05-03-2025 1.14,05-03-2025,,,,
A1,05-03-2025 1.55,05-03-2025,,,,
A1,05-03-2025 1.57,05-03-2025,,,,
A1,05-03-2025 4.30,05-03-2025,,,,
A1,05-03-2025 4.47,05-03-2025,,,,
A1,05-03-2025 5.55,05-03-2025,,,,
A1,05-03-2025 10.40,05-03-2025,,,,
A1,05-03-2025 12.09,05-03-2025,,,,
A1,05-03-2025 13.30,05-03-2025,,,,
A1,05-03-2025 15.32,05-03-2025,,,,
A1,05-03-2025 16.49,05-03-2025,,,,
A1,05-03-2025 16.52,05-03-2025,,,,
